Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000124613,ZNF391,0.02531589446107463,-0.9331534221297435,0.4786748110335181,0.03735870558651692,0.8174737595081476,0.8046119267018033,0.05205972175093316,1.322667047485178,0.44914958014818385
ENSG00000096654,ZNF184,0.11447187060659832,0.5440528982355293,0.4386296812073824,0.06226450931086153,-0.6240359511318871,0.6130175019417332,0.08676620291822193,-0.11884266315485714,1
ENSG00000185130,HIST1H2BL,0.18821817186277223,1.0150640357677099,0.03979922013245004,0.07471741117303383,-1.0960172472371776,0.14002393136953875,0.10411944350186632,-0.5908239592601467,0.5431205476353271
ENSG00000196747,HIST1H2AI,0.36212735989971967,1.407633700008934,0.00015186233655539635,0.13698192048389538,-1.2392810187890861,0.017342806171315086,0.12147268408551071,-1.3360733793755257,0.03375316380250803
ENSG00000278828,HIST1H3H,0.5063178892214926,1.8159338447486797,0.00000006841626426356489,0.13698192048389538,-1.716120350122604,0.00025915842930726346,0.13882592466915508,-1.6351634982708825,0.0029833810606232185
ENSG00000273703,HIST1H2BM,0.03192004084222453,0.19612959481522285,0.9761975957936463,0,-1.4720328576868376,0.42842773342416857,0.05205972175093316,1.1706639540401285,0.5097521517259501
ENSG00000197238,HIST1H4J,0.009906219571724854,-0.3888329059059332,1,0,0.11292964303431852,1,0.017353240583644385,1.755626454761285,0.702191776442553
ENSG00000233822,HIST1H2BN,1.0456565103487345,0.9157539893723662,0.00011093273148493446,0.36113415400299687,-1.483644148057126,0.000013552074126907026,0.8156023074312861,-0.2741208886327678,0.6652659135101073
ENSG00000275221,HIST1H2AK,0.09906219571724854,0.6271086379630875,0.383055101598054,0.012452901862172306,-2.042348582443592,0.04917257911843867,0.12147268408551071,0.5539925935916337,0.670478952189752
ENSG00000184357,HIST1H1B,1.1083959009696587,1.5940935807351246,0.0000000011615962785297778,0.27396384096779075,-1.9208850699579252,0.0000003150084927566985,0.48589073634204283,-1.072893077294362,0.015022606830019236
ENSG00000275379,HIST1H3I,0.2388499607849215,0.5979917053463333,0.19750556764996294,0.07471741117303383,-1.4844699609250602,0.022966591612754016,0.2602986087546658,0.27019962759104255,0.869915508853671
ENSG00000274641,HIST1H2BO,0.5316337836825672,1.3012116408727799,0.000030363666322084264,0.1992464297947569,-1.2972779386403308,0.003610939709941129,0.22559212758737704,-1.0808748129558363,0.0432048389168423
ENSG00000168131,OR2B2,0.0022013821270499678,-1.1257985000721389,1,0,1.9873987609504598,1,0,2.4925920489274906,1
ENSG00000124657,OR2B6,0.009906219571724854,-0.3888329059059332,1,0,0.11292964303431852,1,0.017353240583644385,1.755626454761285,0.702191776442553
ENSG00000197279,ZNF165,0.12768016336889812,0.4591640006490163,0.4712396882671212,0.07471741117303383,-0.5627983216100199,0.5617071573158756,0.10411944350186632,-0.05760503363298897,1
ENSG00000196812,ZSCAN16,0.07814906551027385,-0.12579850007213977,1,0.024905803724344613,-1.1825262404918524,0.29460739555008064,0.15617916525279948,1.1900292789070588,0.16842933782295963
ENSG00000198315,ZKSCAN8,0.20582922887917196,-0.06306274472417739,1,0.13698192048389538,-0.5291767647904462,0.5579665577116265,0.31235833050559897,0.6888574425485829,0.29444526970094975
ENSG00000137185,ZSCAN9,0.14088845613119794,-0.6537300557569172,0.13146988905888346,0.11207611675955076,-0.33452933393690243,0.7976504624984927,0.3644180522565321,1.428461711507775,0.005417815370089056
ENSG00000187626,ZKSCAN4,0.14198914719472291,-0.08071061054360174,1,0.17434062607041229,0.391789016029795,0.7833595154553106,0.10411944350186632,-0.28501552973606126,0.8790984536235893
ENSG00000189134,NKAPL,0.009906219571724854,-1.3888329059059332,0.3966905992277577,0.012452901862172306,0.9873987609504598,0.9254935740188582,0.03470648116728877,2.2030854317325055,0.3346257732571563
ENSG00000197062,ZSCAN26,0.1287808544324231,-0.07604546487504038,1,0.09962321489737845,-0.2577137368860716,0.9355687168129779,0.17353240583644386,0.5597062447860277,0.6322453833014943
