Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000185453,ZSWIM9,0.1210238597762138,-0.12830497758131187,1,0.1135032570846778,0.12830497758131187,1
ENSG00000105483,CARD8,0.7993203761963888,-0.82930835857032,0.06825112155992333,1.4301410392669403,0.82930835857032,0.06825112155992345
ENSG00000178150,ZNF114,0.0037526778225182573,-2.2437821950012484,1,0,2.2437821950012484,1
ENSG00000105479,CCDC114,0.00656718618940695,-1.5657102898886102,1,0,1.5657102898886102,1
ENSG00000142227,EMP3,0.33305015674849536,-0.7904165770633046,0.5570270976888814,0.567516285423389,0.7904165770633046,0.5570270976888814
ENSG00000161558,TMEM143,0.1078894873973999,0.29227070523896215,1,0.06810195425080667,-0.29227070523896215,1
ENSG00000105438,KDELR1,0.5722833679340342,-0.3550758394283341,0.9120648113457079,0.726420845341938,0.3550758394283341,0.9120648113457079
ENSG00000105464,GRIN2D,0.027206914213257365,-2.243782195001248,0.1994230935417231,0.1135032570846778,2.243782195001248,0.19942309354172327
ENSG00000105447,GRWD1,0.18481938275902418,-0.6367933879500929,0.7836414773065463,0.2724078170032267,0.6367933879500929,0.7836414773065463
ENSG00000182324,KCNJ14,0.04972298114836691,-0.39578528844629757,1,0.04540130283387112,0.39578528844629757,1
ENSG00000105443,CYTH2,0.5563344871883317,-0.30558747947471976,0.9154702529478528,0.6810195425080668,0.30558747947471976,0.9154702529478528
ENSG00000142235,LMTK3,0.00844352510066608,-2.2437821950012484,0.8904717585010846,0.02270065141693556,2.2437821950012484,0.8904717585010852
ENSG00000088002,SULT2B1,0.0028145083668886933,-2.565710289888611,1,0,2.565710289888611,1
ENSG00000105523,FAM83E,0.010319864011925209,-0.9807477891674541,1,0,0.9807477891674541,1
ENSG00000063176,SPHK2,0.2955233785233128,0.2786388396511954,1,0.2270065141693556,-0.2786388396511954,1
ENSG00000105516,DBP,0.14823077398947118,0.42524457050838294,1,0.09080260566774224,-0.42524457050838294,1
ENSG00000063180,CA11,0.03002142258014606,-0.5213161705301568,1,0.02270065141693556,0.5213161705301568,1
ENSG00000142233,NTN5,0.01876338911259129,-1.758355367831006,0.7623178314858015,0.04540130283387112,1.758355367831006,0.7623178314858015
ENSG00000176920,FUT2,0.0028145083668886933,-2.565710289888611,1,0,2.565710289888611,1
ENSG00000176909,MAMSTR,0.05066115060399647,-0.7843505763639507,1,0.06810195425080667,0.7843505763639507,1
